iter	Passed	Remaining
0	150	149991
1	180	89963
2	206	68749
3	225	56059
4	242	48287
5	257	42659
6	272	38640
7	284	35265
8	296	32669
9	306	30380
10	321	28906
11	332	27406
12	343	26090
13	353	24911
14	366	24066
15	374	23012
16	384	22244
17	394	21537
18	402	20794
19	412	20198
20	420	19587
21	432	19235
22	447	19003
23	471	19156
24	533	20824
25	623	23343
26	648	23373
27	698	24253
28	728	24404
29	766	24781
30	832	26032
31	867	26229
32	902	26460
33	944	26836
34	966	26638
35	978	26214
36	992	25828
37	1005	25450
38	1017	25068
39	1038	24918
40	1080	25262
41	1101	25114
42	1123	25012
43	1144	24864
44	1155	24527
45	1168	24226
46	1181	23952
47	1192	23653
48	1203	23359
49	1216	23115
50	1230	22890
51	1242	22659
52	1254	22409
53	1268	22219
54	1282	22031
55	1295	21831
56	1307	21629
57	1319	21426
58	1333	21268
59	1347	21106
60	1363	20982
61	1376	20829
62	1388	20651
63	1400	20482
64	1416	20374
65	1430	20237
66	1446	20148
67	1463	20055
68	1482	20000
69	1496	19888
70	1511	19776
71	1526	19678
72	1543	19598
73	1562	19556
74	1575	19436
75	1589	19319
76	1600	19184
77	1613	19071
78	1626	18965
79	1640	18863
80	1653	18764
81	1668	18676
82	1681	18577
83	1696	18502
84	1711	18425
85	1723	18322
86	1735	18212
87	1744	18076
88	1756	17977
89	1765	17852
90	1777	17754
91	1788	17656
92	1797	17527
93	1809	17442
94	1821	17350
95	1830	17240
96	1843	17158
97	1855	17076
98	1864	16969
99	1875	16879
100	1885	16782
101	1893	16669
102	1902	16571
103	1911	16469
104	1922	16389
105	1933	16307
106	1942	16211
107	1953	16134
108	1998	16336
109	2008	16250
110	2020	16180
111	2031	16105
112	2041	16022
113	2051	15946
114	2059	15849
115	2071	15785
116	2080	15701
117	2088	15613
118	2098	15538
119	2106	15444
120	2117	15380
121	2128	15317
122	2137	15237
123	2146	15162
124	2154	15081
125	2164	15016
126	2173	14938
127	2184	14883
128	2192	14803
129	2202	14738
130	2209	14657
131	2223	14623
132	2258	14722
133	2287	14782
134	2297	14720
135	2304	14643
136	2314	14577
137	2321	14503
138	2331	14438
139	2338	14367
140	2348	14304
141	2356	14240
142	2366	14181
143	2374	14116
144	2385	14064
145	2395	14011
146	2402	13943
147	2413	13891
148	2423	13839
149	2432	13786
150	2444	13741
151	2453	13690
152	2467	13660
153	2525	13871
154	2534	13818
155	2545	13771
156	2555	13719
157	2566	13678
158	2581	13652
159	2595	13626
160	2604	13573
161	2615	13532
162	2627	13493
163	2637	13444
164	2648	13405
165	2660	13368
166	2672	13329
167	2683	13290
168	2695	13253
169	2707	13218
170	2717	13172
171	2782	13396
172	2792	13348
173	2800	13292
174	2810	13248
175	2817	13192
176	2827	13144
177	2834	13091
178	2844	13045
179	2851	12992
180	2861	12946
181	2870	12903
182	2880	12859
183	2891	12824
184	2899	12774
185	2909	12733
186	2916	12681
187	2926	12639
188	2933	12589
189	2944	12551
190	2953	12510
191	2960	12460
192	2970	12421
193	3022	12556
194	3032	12518
195	3044	12486
196	3053	12447
197	3061	12401
198	3070	12360
199	3079	12317
200	3090	12284
201	3097	12238
202	3109	12208
203	3119	12173
204	3127	12127
205	3136	12090
206	3144	12045
207	3153	12008
208	3161	11965
209	3174	11940
210	3185	11911
211	3194	11873
212	3204	11841
213	3213	11801
214	3222	11767
215	3238	11753
216	3279	11832
217	3290	11804
218	3301	11772
219	3308	11731
220	3318	11696
221	3332	11679
222	3341	11643
223	3351	11610
224	3358	11569
225	3368	11534
226	3375	11494
227	3384	11460
228	3392	11422
229	3403	11394
230	3411	11356
231	3421	11325
232	3433	11301
233	3442	11270
234	3454	11244
235	3465	11219
236	3476	11192
237	3546	11354
238	3558	11329
239	3569	11304
240	3581	11278
241	3590	11246
242	3604	11227
243	3615	11203
244	3631	11192
245	3642	11165
246	3653	11139
247	3665	11113
248	3674	11082
249	3686	11060
250	3700	11042
251	3712	11020
252	3721	10987
253	3739	10983
254	3771	11019
255	3793	11025
256	3803	10995
257	3812	10965
258	3820	10931
259	3830	10901
260	3838	10867
261	3847	10838
262	3855	10803
263	3864	10773
264	3871	10738
265	3881	10710
266	3888	10676
267	3898	10648
268	3908	10621
269	3920	10600
270	3930	10572
271	3938	10540
272	3947	10512
273	3955	10480
274	3963	10450
275	3973	10423
276	3987	10407
277	4027	10461
278	4037	10434
279	4045	10403
280	4055	10375
281	4071	10365
282	4079	10334
283	4088	10307
284	4096	10276
285	4107	10253
286	4114	10222
287	4124	10196
288	4131	10165
289	4142	10141
290	4150	10111
291	4158	10084
292	4170	10062
293	4177	10031
294	4186	10005
295	4194	9975
296	4205	9954
297	4219	9939
298	4226	9909
299	4264	9949
300	4289	9961
301	4297	9932
302	4306	9906
303	4315	9880
304	4325	9857
305	4335	9833
306	4344	9806
307	4356	9787
308	4368	9768
309	4377	9742
310	4389	9723
311	4398	9698
312	4407	9673
313	4417	9650
314	4425	9624
315	4435	9600
316	4442	9572
317	4452	9548
318	4459	9521
319	4469	9498
320	4511	9542
321	4522	9521
322	4532	9499
323	4539	9471
324	4549	9449
325	4557	9421
326	4566	9398
327	4575	9374
328	4585	9352
329	4593	9326
330	4602	9302
331	4610	9275
332	4619	9253
333	4628	9229
334	4638	9206
335	4648	9186
336	4657	9163
337	4667	9141
338	4675	9115
339	4684	9092
340	4694	9072
341	4702	9046
342	4711	9024
343	4718	8998
344	4732	8984
345	4746	8971
346	4760	8959
347	4774	8944
348	4787	8930
349	4809	8931
350	4819	8911
351	4829	8890
352	4836	8865
353	4847	8846
354	4855	8821
355	4864	8800
356	4874	8780
357	4882	8755
358	4891	8734
359	4900	8711
360	4909	8690
361	4917	8666
362	4926	8645
363	4934	8621
364	4947	8607
365	4957	8587
366	4964	8563
367	4974	8543
368	5013	8573
369	5029	8564
370	5039	8544
371	5048	8522
372	5058	8503
373	5066	8480
374	5076	8461
375	5089	8446
376	5098	8425
377	5107	8404
378	5115	8382
379	5125	8361
380	5132	8338
381	5141	8318
382	5151	8298
383	5161	8280
384	5171	8261
385	5179	8238
386	5189	8219
387	5197	8197
388	5206	8177
389	5213	8155
390	5223	8135
391	5247	8138
392	5283	8161
393	5297	8148
394	5306	8127
395	5315	8108
396	5323	8085
397	5333	8066
398	5341	8045
399	5351	8027
400	5360	8006
401	5369	7987
402	5377	7965
403	5391	7953
404	5400	7934
405	5408	7912
406	5418	7894
407	5425	7872
408	5435	7854
409	5443	7832
410	5454	7817
411	5464	7798
412	5472	7777
413	5482	7760
414	5504	7758
415	5546	7786
416	5556	7768
417	5566	7750
418	5573	7729
419	5584	7711
420	5595	7695
421	5603	7675
422	5613	7657
423	5621	7636
424	5630	7617
425	5638	7597
426	5647	7578
427	5655	7558
428	5666	7542
429	5674	7521
430	5685	7505
431	5697	7490
432	5706	7472
433	5781	7539
434	5838	7583
435	5880	7607
436	5889	7587
437	5899	7569
438	5906	7547
439	5916	7530
440	5926	7512
441	5934	7492
442	5944	7474
443	5952	7454
444	5964	7438
445	5971	7417
446	5981	7399
447	5988	7379
448	6017	7384
449	6049	7393
450	6059	7375
451	6067	7356
452	6078	7339
453	6086	7319
454	6097	7303
455	6107	7286
456	6115	7266
457	6125	7248
458	6132	7228
459	6143	7211
460	6150	7191
461	6160	7174
462	6168	7154
463	6179	7138
464	6192	7124
465	6199	7104
466	6209	7086
467	6216	7066
468	6226	7049
469	6233	7029
470	6243	7011
471	6256	6999
472	6269	6985
473	6283	6972
474	6314	6979
475	6323	6961
476	6331	6941
477	6343	6927
478	6352	6909
479	6360	6891
480	6371	6874
481	6379	6856
482	6389	6839
483	6397	6820
484	6407	6803
485	6414	6784
486	6424	6767
487	6431	6748
488	6441	6731
489	6450	6713
490	6458	6695
491	6468	6678
492	6478	6662
493	6490	6648
494	6513	6644
495	6542	6648
496	6552	6631
497	6561	6614
498	6570	6596
499	6578	6578
500	6589	6563
501	6598	6545
502	6607	6529
503	6617	6512
504	6627	6496
505	6639	6481
506	6649	6466
507	6657	6447
508	6666	6430
509	6674	6412
510	6683	6396
511	6691	6378
512	6702	6362
513	6710	6344
514	6720	6328
515	6727	6310
516	6736	6293
517	6767	6297
518	6804	6306
519	6815	6291
520	6822	6272
521	6832	6256
522	6840	6238
523	6853	6225
524	6865	6211
525	6874	6195
526	6885	6180
527	6900	6168
528	6916	6158
529	6931	6146
530	6940	6130
531	6952	6116
532	6963	6101
533	6974	6086
534	6986	6072
535	7002	6061
536	7040	6070
537	7073	6073
538	7084	6058
539	7099	6047
540	7107	6030
541	7122	6018
542	7136	6006
543	7147	5991
544	7155	5973
545	7167	5959
546	7178	5945
547	7187	5928
548	7199	5914
549	7211	5900
550	7219	5883
551	7231	5868
552	7239	5851
553	7251	5838
554	7301	5854
555	7315	5841
556	7326	5826
557	7335	5810
558	7346	5795
559	7353	5778
560	7365	5763
561	7377	5750
562	7387	5733
563	7401	5721
564	7415	5709
565	7427	5695
566	7435	5678
567	7446	5663
568	7459	5650
569	7468	5634
570	7479	5619
571	7491	5605
572	7499	5588
573	7535	5592
574	7570	5595
575	7578	5578
576	7588	5563
577	7596	5545
578	7606	5530
579	7614	5513
580	7628	5501
581	7639	5486
582	7646	5469
583	7657	5454
584	7665	5437
585	7675	5422
586	7683	5405
587	7694	5391
588	7711	5381
589	7729	5371
590	7746	5361
591	7777	5359
592	8126	5577
593	8610	5884
594	8713	5930
595	8732	5919
596	8754	5909
597	8888	5975
598	8996	6022
599	9086	6057
600	9137	6066
601	9165	6059
602	9186	6048
603	9215	6042
604	9238	6031
605	9283	6035
606	9305	6024
607	9336	6019
608	9416	6046
609	9446	6039
610	9462	6024
611	9478	6009
612	9501	5998
613	9534	5993
614	9567	5989
615	9585	5975
616	9601	5960
617	9620	5946
618	9646	5937
619	9662	5922
620	9678	5907
621	9696	5892
622	9715	5879
623	9748	5874
624	9768	5861
625	9782	5844
626	9796	5828
